WARNING: processor.v:8: $readmemb(sample2.bnr): Not enough words in the file for the requested range [0:255].
VCD info: dumpfile dumpfile.vcd opened for output.
                 470 rstd = 1, clk = 1, pc = 00000013, ins = 05080001, wra = 01, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 480 rstd = 1, clk = 0, pc = 00000013, ins = 05080001, wra = 01, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 490 rstd = 1, clk = 1, pc = 00000014, ins = 01094800, wra = 00, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 500 rstd = 1, clk = 0, pc = 00000014, ins = 01094800, wra = 00, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 510 rstd = 1, clk = 1, pc = 00000015, ins = xxxxxxxx, wra = xx, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 520 rstd = 1, clk = 0, pc = 00000015, ins = xxxxxxxx, wra = xx, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 530 rstd = 1, clk = 1, pc = 00000016, ins = xxxxxxxx, wra = xx, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 540 rstd = 1, clk = 0, pc = 00000016, ins = xxxxxxxx, wra = xx, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 550 rstd = 1, clk = 1, pc = 00000017, ins = xxxxxxxx, wra = xx, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 560 rstd = 1, clk = 0, pc = 00000017, ins = xxxxxxxx, wra = xx, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 570 rstd = 1, clk = 1, pc = 00000018, ins = xxxxxxxx, wra = xx, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 580 rstd = 1, clk = 0, pc = 00000018, ins = xxxxxxxx, wra = xx, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 590 rstd = 1, clk = 1, pc = 00000019, ins = xxxxxxxx, wra = xx, reg1 = xxxxxxxx, reg2 = xxxxxxxx
                 600 rstd = 1, clk = 0, pc = 00000019, ins = xxxxxxxx, wra = xx, reg1 = xxxxxxxx, reg2 = xxxxxxxx
